cos_theta_lower,cos_theta_upper,phi_lower_rad,phi_upper_rad,count,probability,relative_to_isotropic
-0.6,-0.3999999999999999,1.178097245096172,1.5707963267948966,16,0.0125,2.0
-0.6,-0.3999999999999999,1.5707963267948966,1.9634954084936211,4,0.003125,0.5
-0.6,-0.3999999999999999,1.9634954084936211,2.356194490192345,9,0.00703125,1.125
-0.6,-0.3999999999999999,2.356194490192345,2.7488935718910685,5,0.00390625,0.625
-0.6,-0.3999999999999999,2.7488935718910685,3.141592653589793,14,0.0109375,1.75
-0.3999999999999999,-0.19999999999999996,-3.141592653589793,-2.748893571891069,6,0.0046875,0.75
-0.3999999999999999,-0.19999999999999996,-2.748893571891069,-2.356194490192345,7,0.00546875,0.875
-0.3999999999999999,-0.19999999999999996,-2.356194490192345,-1.9634954084936207,1,0.00078125,0.125
-0.3999999999999999,-0.19999999999999996,-1.9634954084936207,-1.5707963267948966,3,0.00234375,0.375
-0.3999999999999999,-0.19999999999999996,-1.5707963267948966,-1.1780972450961724,11,0.00859375,1.375
-0.3999999999999999,-0.19999999999999996,-1.1780972450961724,-0.7853981633974483,7,0.00546875,0.875
-0.3999999999999999,-0.19999999999999996,-0.7853981633974483,-0.39269908169872414,3,0.00234375,0.375
-0.3999999999999999,-0.19999999999999996,-0.39269908169872414,0.0,4,0.003125,0.5
-0.3999999999999999,-0.19999999999999996,0.0,0.39269908169872414,7,0.00546875,0.875
-0.3999999999999999,-0.19999999999999996,0.39269908169872414,0.7853981633974483,11,0.00859375,1.375
-0.3999999999999999,-0.19999999999999996,0.7853981633974483,1.178097245096172,10,0.0078125,1.25
-0.3999999999999999,-0.19999999999999996,1.178097245096172,1.5707963267948966,11,0.00859375,1.375
-0.3999999999999999,-0.19999999999999996,1.5707963267948966,1.9634954084936211,9,0.00703125,1.125
-0.3999999999999999,-0.19999999999999996,1.9634954084936211,2.356194490192345,7,0.00546875,0.875
-0.3999999999999999,-0.19999999999999996,2.356194490192345,2.7488935718910685,5,0.00390625,0.625
