Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Ryu,Mario,1,0,1,-1,97,0.485,-1,4.83
Sheik,Lucina,1,1,0,1,11,1.945,2,1.945
Sheik,Falco,2,1,0,2,68,2.66,-2,4.605
Sheik,Inkling,3,0,1,-1,21,0.105,0,4.710000000000001
Sheik,Toon Link,1,1,0,1,0,2.0,0,6.710000000000001
Sheik,Samus,2,1,0,2,169,2.155,0,8.865
Sheik,Lucario,3,1,0,1,63,1.685,0,10.55
Villager,Lucas,1,1,0,1,83,1.585,1,1.585
Villager,Mario,2,1,0,2,87,2.565,-2,4.15
Villager,Sora,3,0,1,-1,96,0.48,0,4.63
Villager,Piranha Plant,1,1,0,1,110,1.45,1,6.08
Villager,Young Link,2,0,1,-1,61,0.305,-2,6.385
Kirby,Mega Man,1,1,0,1,93,1.535,0,1.535
Kirby,Bayonetta,2,1,0,2,25,2.875,0,4.41
Kirby,Duck Hunt,3,0,1,-1,128,0.64,0,5.05
Kirby,Diddy Kong,1,1,0,3,114,3.43,-1,8.48
Kirby,Ice Climbers,2,1,0,2,35,2.825,-2,11.305
Kirby,Mario,3,1,0,1,71,1.645,-2,12.950000000000001
Shulk,Zelda,1,1,0,2,107,2.465,0,2.465
Shulk,Roy,2,1,0,2,54,2.73,0,5.195
Shulk,Link,3,0,1,-1,77,0.385,1,5.58
Shulk,Terry,1,1,0,1,0,2.0,1,7.58
Shulk,Duck Hunt,2,1,0,1,0,2.0,2,9.58
Shulk,Link,3,1,0,1,35,1.825,1,11.405
Luigi,Inkling,1,1,0,1,102,1.49,2,1.49
Luigi,Sheik,2,1,0,2,52,2.74,1,4.23
Luigi,Greninja,3,1,0,1,139,1.305,2,5.535
Luigi,Lucario,4,1,0,1,53,1.735,1,7.2700000000000005
Luigi,Isabelle,1,1,0,1,86,1.57,0,8.84
Luigi,Peach,2,1,0,1,58,1.71,1,10.55
Luigi,Pikachu,3,1,0,2,27,2.865,2,13.415000000000001
Robin,Olimar,1,1,0,1,0,2.0,-3,2.0
Robin,Pikachu,2,1,0,1,110,1.45,1,3.45
Robin,Luigi,3,1,0,1,48,1.76,-2,5.21
Robin,Meta Knight,1,1,0,1,17,1.915,-2,7.125
Robin,Mega Man,2,1,0,2,27,2.865,-2,9.99
Robin,Mr Game & Watch,3,1,0,2,47,2.765,-2,12.755
Zero Suit Samus,Byleth,1,1,0,2,123,2.385,0,2.385
Zero Suit Samus,Peach,2,1,0,1,45,1.775,-1,4.16
Zero Suit Samus,Lucas,3,1,0,1,27,1.865,2,6.0249999999999995
Zero Suit Samus,Shulk,1,1,0,1,89,1.555,-2,7.58
Zero Suit Samus,Yoshi,2,1,0,1,63,1.685,-1,9.265
Zero Suit Samus,Marth,3,1,0,1,73,1.635,1,10.9
Pyra & Mythra,Bowser Jr,1,1,0,1,30,1.85,1,1.85
Pyra & Mythra,Pichu,2,1,0,1,55,1.725,0,3.575
Pyra & Mythra,Donkey Kong,3,1,0,1,93,1.535,0,5.11
Pyra & Mythra,Ness,4,1,0,2,106,2.47,1,7.58
Pyra & Mythra,Rob,5,1,0,2,117,2.415,0,9.995000000000001
Pyra & Mythra,Diddy Kong,1,1,0,2,56,2.72,-1,12.715
Pyra & Mythra,Bowser Jr,2,1,0,1,26,1.87,1,14.585
Pyra & Mythra,Kazuya,3,0,1,-1,49,0.245,0,14.83
Inkling,Rosalina & Luma,1,1,0,2,116,2.42,-2,2.42
Inkling,Young Link,2,1,0,1,0,2.0,0,4.42
Inkling,Richter,3,1,0,1,111,1.445,-1,5.865
Inkling,Roy,1,1,0,1,71,1.645,-1,7.51
Inkling,Samus,2,1,0,2,79,2.605,0,10.115
Inkling,Simon,3,1,0,2,112,2.44,1,12.555
Inkling,Kazuya,4,0,1,-1,73,0.365,-1,12.92
Ness,Sonic,1,1,0,1,100,1.5,0,1.5
Ness,Bayonetta,2,1,0,2,18,2.91,0,4.41
Ness,Mewtwo,3,1,0,1,0,2.0,0,6.41
Ness,Meta Knight,1,1,0,1,29,1.855,0,8.265
Ness,Lucas,2,1,0,2,68,2.66,1,10.925
Ness,Incineroar,3,1,0,1,11,1.945,1,12.870000000000001
Ness,Kazuya,5,0,1,-2,163,-0.185,-1,12.685
Sora,Wii Fit Trainer,1,1,0,2,47,2.765,1,2.765
Sora,Pit,2,1,0,2,81,2.595,1,5.36
Sora,Banjo & Kazooie,3,1,0,1,71,1.645,2,7.005000000000001
Sora,ROB,1,1,0,2,51,2.745,0,9.75
Sora,Sheik,2,1,0,2,76,2.62,-1,12.370000000000001
Sora,King Dedede,3,1,0,1,28,1.86,3,14.23
Fox,Jigglypuff,1,1,0,2,52,2.74,0,2.74
Fox,Sheik,2,1,0,1,6,1.97,1,4.71
Fox,Pikachu,3,1,0,1,13,1.935,0,6.6450000000000005
Fox,Villager,1,1,0,1,111,1.445,2,8.09
Fox,Corrin,2,0,1,-2,92,-0.54,1,7.550000000000001
Wolf,Greninja,1,1,0,3,165,3.175,0,3.175
Wolf,Bowser Jr,2,1,0,1,56,1.72,-1,4.895
Wolf,Dr Mario,3,1,0,1,14,1.93,2,6.824999999999999
Wolf,Mewtwo,1,1,0,3,110,3.45,3,10.275
Wolf,Inkling,2,1,0,2,126,2.37,1,12.645
Wolf,Joker,3,1,0,2,89,2.555,-1,15.2
Wolf,Corrin,4,1,0,2,104,2.48,0,17.68
Pit,King K Rool,1,1,0,1,0,2.0,0,2.0
Pit,Chrom,2,1,0,1,0,2.0,2,4.0
Pit,Pikachu,3,1,0,2,144,2.28,-2,6.279999999999999
Pit,Dr Mario,4,1,0,1,104,1.48,-1,7.76
Pit,Dark Samus,1,1,0,2,118,2.41,1,10.17
Pit,Ness,2,1,0,2,172,2.14,-1,12.31
Pit,Isabelle,3,1,0,2,61,2.695,0,15.004999999999999
Mii Swordfighter,Mega Man,1,1,0,1,17,1.915,-2,1.915
Mii Swordfighter,Samus,2,1,0,1,0,2.0,0,3.915
Mii Swordfighter,Richter,3,1,0,2,96,2.52,0,6.4350000000000005
Mii Swordfighter,Ness,4,0,1,-1,75,0.375,-1,6.8100000000000005
Mii Swordfighter,Meta Knight,1,1,0,1,54,1.73,-1,8.54
Mii Swordfighter,Zero Suit Samus,2,1,0,2,43,2.785,0,11.325
Mii Swordfighter,Lucario,3,1,0,2,155,2.225,-1,13.55
