Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup
Pit,Isabelle,3,1,0,2,61,2.695,0
Mii Swordfighter,Mega Man,1,1,0,1,17,1.915,-2
Mii Swordfighter,Samus,2,1,0,1,0,2.0,0
Mii Swordfighter,Richter,3,1,0,2,96,2.52,0
Mii Swordfighter,Ness,4,0,1,-1,75,0.375,-1
Mii Swordfighter,Meta Knight,1,1,0,1,54,1.73,-1
Mii Swordfighter,Zero Suit Samus,2,1,0,2,43,2.785,0
Mii Swordfighter,Lucario,3,1,0,2,155,2.225,-1
Mr Game & Watch,Wii Fit Trainer,1,1,0,1,15,1.925,2
Mr Game & Watch,Richter,2,1,0,1,38,1.81,0
Mr Game & Watch,Meta Knight,3,1,0,2,117,2.415,-1
Mr Game & Watch,Peach,4,1,0,2,121,2.395,1
Mr Game & Watch,Marth,5,1,0,2,130,2.35,3
Mr Game & Watch,King Dedede,1,0,1,-1,96,0.48,1
Mr Game & Watch,Toon Link,1,1,0,2,148,2.26,0
Mr Game & Watch,Sora,2,1,0,1,78,1.61,0
Mr Game & Watch,Olimar,3,1,0,2,45,2.775,-1
Mr Game & Watch,Greninja,4,1,0,2,4,2.98,1
Roy,Ryu,1,1,0,2,46,2.77,2
Roy,Ike,2,1,0,2,116,2.42,2
Roy,Duck Hunt,3,1,0,2,92,2.54,1
Roy,Sonic,1,1,0,2,0,3.0,0
Roy,Banjo & Kazooie,2,0,1,-2,59,-0.705,-1
Roy,Ken,1,1,0,3,124,3.38,1
Roy,Greninja,2,1,0,3,176,3.12,0
Roy,Diddy Kong,3,1,0,2,61,2.695,-1
Roy,Byleth,4,1,0,1,0,2.0,0
Ganondorf,Dark Samus,1,1,0,2,72,2.64,1
Ganondorf,King Dedede,2,1,0,1,84,1.58,1
Ganondorf,Corrin,3,1,0,2,90,2.55,-1
Ganondorf,Captain Falcon,4,1,0,1,0,2.0,2
Ganondorf,Ness,1,1,0,2,59,2.705,0
Ganondorf,Mario,2,1,0,2,138,2.31,-1
Ganondorf,King K Rool,3,1,0,2,75,2.625,2
Ganondorf,Simon,5,1,0,3,137,3.315,-2
Toon Link,Steve,1,1,0,1,0,2.0,-2
Toon Link,Piranha Plant,2,1,0,2,89,2.555,1
Toon Link,Zero Suit Samus,3,1,0,2,104,2.48,0
Toon Link,King K Rool,1,0,1,-1,100,0.5,0
Toon Link,Bowser,1,1,0,2,113,2.435,0
Toon Link,Fox,2,1,0,2,12,2.94,-2
Toon Link,Young Link,3,1,0,2,45,2.775,0
Dark Pit,Chrom,1,1,0,3,142,3.29,0
Dark Pit,Young Link,2,1,0,2,77,2.615,0
Dark Pit,King Dedede,3,1,0,1,110,1.45,0
Dark Pit,Ness,1,1,0,2,100,2.5,-1
Dark Pit,Banjo & Kazooie,2,1,0,2,120,2.4,0
Dark Pit,Snake,3,1,0,2,0,3.0,-1
Cloud,Pit,1,1,0,2,117,2.415,1
Cloud,Duck Hunt,2,1,0,3,141,3.295,2
Cloud,Min Min,3,1,0,1,7,1.965,0
Cloud,Shulk,1,1,0,2,8,2.96,1
Cloud,Ganondorf,2,1,0,2,67,2.665,-1
Cloud,Duck Hunt,3,1,0,1,128,1.36,2
Cloud,Mario,4,1,0,2,53,2.735,0
Hero,Pit,1,1,0,2,89,2.555,-1
Hero,Ganondorf,2,1,0,1,73,1.635,-1
Hero,Mewtwo,3,1,0,2,0,3.0,1
Hero,Incineroar,1,1,0,2,91,2.545,1
Hero,Simon,2,1,0,2,0,3.0,1
Hero,Robin,3,1,0,1,0,2.0,0
Wario,Ridley,1,1,0,2,66,2.67,1
Wario,Richter,2,1,0,2,154,2.23,-2
Wario,Duck Hunt,3,1,0,2,193,2.035,0
Wario,Hero,4,1,0,1,121,1.395,0
Wario,Isabelle,1,1,0,1,16,1.92,-1
Wario,Ridley,2,1,0,1,0,2.0,1
Wario,Sora,3,1,0,2,113,2.435,0
Incineroar,Dr Mario,1,1,0,2,67,2.665,1
Incineroar,Shulk,2,1,0,1,61,1.695,-1
Incineroar,Captain Falcon,3,1,0,2,63,2.685,-2
Incineroar,King Dedede,1,1,0,2,90,2.55,-3
Incineroar,Corrin,2,1,0,2,69,2.655,-1
Incineroar,Rosalina & Luma,3,1,0,3,177,3.115,1
Incineroar,Ike,4,1,0,2,70,2.65,0
Snake,Dark Pit,1,1,0,3,155,3.225,-1
Snake,Incineroar,2,1,0,1,16,1.92,0
Snake,Fox,3,1,0,1,89,1.555,0
Snake,Duck Hunt,4,1,0,3,150,3.25,2
Snake,King K Rool,1,0,1,-1,0,0.0,0
Snake,Daisy,1,0,1,-1,54,0.27,-1
Yoshi,Mega Man,1,1,0,2,56,2.72,1
Yoshi,Piranha Plant,2,1,0,2,83,2.585,1
Yoshi,Terry,3,1,0,2,80,2.6,2
Yoshi,Pyra & Mythra,1,0,1,-1,100,0.5,-1
Yoshi,Donkey Kong,1,1,0,1,0,2.0,0
Yoshi,Chrom,2,1,0,2,78,2.61,2
Yoshi,Incineroar,3,1,0,2,43,2.785,0
Yoshi,Olimar,4,1,0,2,125,2.375,-1
Greninja,Pichu,1,1,0,2,36,2.82,1
Greninja,Isabelle,2,1,0,1,56,1.72,1
Greninja,Pyra & Mythra,3,1,0,2,63,2.685,-2
Greninja,Sora,4,0,1,-1,62,0.31,-1
Greninja,Zelda,1,1,0,1,77,1.615,1
Greninja,Kirby,2,1,0,1,82,1.59,1
Greninja,Olimar,3,1,0,1,63,1.685,0
Greninja,Captain Falcon,1,1,0,2,119,2.405,0
Greninja,Joker,2,0,1,-1,72,0.36,-1
King K Rool,Olimar,1,1,0,1,5,1.975,-1
King K Rool,Samus,2,1,0,2,117,2.415,-2
King K Rool,Lucario,3,1,0,2,0,3.0,2
King K Rool,Sheik,1,1,0,2,38,2.81,-1
King K Rool,Ice Climbers,2,1,0,2,98,2.51,0
King K Rool,Kazuya,3,1,0,1,101,1.495,-2
King K Rool,Piranha Plant,4,1,0,2,126,2.37,0
King Dedede,Cloud,1,1,0,3,103,3.485,-2
King Dedede,Villager,2,1,0,1,30,1.85,-3
King Dedede,Mewtwo,3,1,0,1,37,1.815,1
King Dedede,Richter,1,1,0,3,141,3.295,0
King Dedede,Kirby,2,0,1,-1,25,0.125,-1
King Dedede,Fox,1,1,0,2,88,2.56,-1
King Dedede,Kazuya,2,1,0,2,146,2.27,-1
King Dedede,Pokemon Trainer,3,1,0,2,21,2.895,-1
King Dedede,Ice Climbers,5,1,0,3,115,3.425,-1
Chrom,Ridley,1,1,0,2,134,2.33,0
Chrom,Sora,2,1,0,1,0,2.0,-2
Chrom,Isabelle,3,1,0,2,36,2.82,0
Chrom,Captain Falcon,4,0,1,-1,112,0.56,2
Chrom,Simon,1,1,0,2,12,2.94,0
Chrom,Marth,2,1,0,2,11,2.945,-3
Chrom,Snake,3,1,0,2,115,2.425,-1
Chrom,Kirby,4,1,0,2,82,2.59,-2
Sonic,Joker,1,1,0,1,71,1.645,1
Sonic,Greninja,2,1,0,3,105,3.475,1
Sonic,Toon Link,3,1,0,1,15,1.925,2
Sonic,Pyra & Mythra,4,1,0,2,174,2.13,0
Sonic,Ryu,5,1,0,2,134,2.33,0
Sonic,Isabelle,1,1,0,1,59,1.705,1
Sonic,Robin,2,1,0,2,85,2.575,0
Sonic,Lucas,3,1,0,2,0,3.0,0
Sonic,Dark Pit,4,1,0,2,78,2.61,0
Ike,Peach,1,1,0,1,62,1.69,-1
Ike,Sonic,2,1,0,2,102,2.49,-1
Ike,Ridley,3,1,0,2,111,2.445,-1
Ike,Steve,4,1,0,2,141,2.295,-2
Ike,Ganondorf,1,1,0,1,0,2.0,-2
Ike,Link,2,1,0,2,24,2.88,0
Ike,Peach,3,1,0,3,109,3.455,-1
Ike,Hero,4,1,0,1,55,1.725,0
Mewtwo,Young Link,1,1,0,2,114,2.43,-1
Mewtwo,Ice Climbers,2,1,0,1,55,1.725,-3
Mewtwo,Little Mac,3,1,0,2,46,2.77,-2
Mewtwo,Ridley,1,1,0,2,46,2.77,-1
Mewtwo,Olimar,2,1,0,1,21,1.895,-1
Mewtwo,Dark Pit,3,0,1,-1,127,0.635,0
Pikachu,Zero Suit Samus,1,1,0,3,94,3.53,0
Pikachu,Bowser Jr,2,1,0,2,80,2.6,0
Pikachu,Little Mac,3,1,0,1,47,1.765,1
Pikachu,King Dedede,1,0,1,-1,100,0.5,2
Pikachu,Marth,1,1,0,2,130,2.35,1
Pikachu,Banjo & Kazooie,2,1,0,3,171,3.145,0
Pikachu,Wolf,3,1,0,2,52,2.74,-1
Link,Bayonetta,1,1,0,2,0,3.0,-2
Link,Kirby,2,1,0,1,55,1.725,-2
Link,Jigglypuff,3,1,0,2,111,2.445,-1
Link,Ryu,1,1,0,2,58,2.71,-2
Link,Dark Pit,2,1,0,2,37,2.815,0
Link,Sonic,3,1,0,3,206,3.0,-1
Min Min,Steve,1,1,0,1,12,1.94,0
Min Min,Diddy Kong,2,1,0,2,129,2.355,-2
Min Min,Pyra & Mythra,3,1,0,2,53,2.735,1
Min Min,Lucina,4,1,0,1,36,1.82,2
Min Min,Villager,5,1,0,1,54,1.73,2
Min Min,Mega Man,1,1,0,1,0,2.0,2
Min Min,Olimar,2,1,0,1,50,1.75,-1
Min Min,Joker,3,1,0,1,90,1.55,0
Min Min,Corrin,4,1,0,1,3,1.985,1
Ice Climbers,Captain Falcon,1,1,0,2,90,2.55,1
Ice Climbers,Yoshi,2,1,0,2,114,2.43,0
Ice Climbers,Kazuya,3,1,0,2,0,3.0,0
Ice Climbers,Mr Game & Watch,1,1,0,3,75,3.625,0
Ice Climbers,PacMan,2,1,0,2,0,3.0,-2
Ice Climbers,Sheik,3,1,0,1,30,1.85,2
Byleth,Lucas,1,1,0,2,67,2.665,0
Byleth,Wii Fit Trainer,2,1,0,2,60,2.7,0
Byleth,ROB,3,1,0,1,5,1.975,-2
Byleth,Ness,4,1,0,1,0,2.0,-1
Byleth,Inkling,1,1,0,2,108,2.46,-1
Byleth,Bowser,2,0,1,-1,24,0.12,1
Byleth,Marth,1,1,0,2,0,3.0,0
Byleth,Bayonetta,2,1,0,3,106,3.47,2
Byleth,Ridley,3,0,1,-1,13,0.065,2
