Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
PacMan,Min Min,1,1,0,1,3,1.985,0,3.6450000000000005
PacMan,Yoshi,2,1,0,2,211,2.0,0,5.6450000000000005
PacMan,Roy,3,1,0,2,6,2.97,-1,8.615
PacMan,Little Mac,1,1,0,2,69,2.655,1,11.27
PacMan,Piranha Plant,2,1,0,1,79,1.605,1,12.875
PacMan,Toon Link,3,1,0,1,22,1.89,0,14.765
PacMan,Wario,1,1,0,1,0,2.0,0,16.765
PacMan,Ness,2,0,1,-1,38,0.19,1,16.955
Daisy,Wii Fit Trainer,1,1,0,2,133,2.335,1,2.335
Daisy,King Dedede,2,0,1,-2,83,-0.585,1,1.75
Daisy,Dark Samus,1,1,0,2,128,2.36,0,4.109999999999999
Daisy,Dark Pit,2,1,0,2,122,2.39,0,6.5
Daisy,Pikachu,3,1,0,1,0,2.0,1,8.5
Daisy,Sora,1,0,1,-2,24,-0.88,1,7.62
Jigglypuff,Dr Mario,1,1,0,1,39,1.805,0,1.805
Jigglypuff,Zelda,2,0,1,-1,7,0.035,-1,1.8399999999999999
Jigglypuff,Mr Game & Watch,1,1,0,1,21,1.895,-2,3.735
Jigglypuff,Joker,2,1,0,1,17,1.915,1,5.65
Jigglypuff,Samus,3,1,0,2,0,3.0,0,8.65
Jigglypuff,Sora,1,1,0,1,83,1.585,-1,10.235
Jigglypuff,Rosalina & Luma,2,1,0,1,107,1.465,2,11.7
Jigglypuff,Bowser,3,1,0,1,0,2.0,2,13.7
Jigglypuff,Banjo & Kazooie,1,0,1,-1,19,0.095,-2,13.795
Lucina,Cloud,1,1,0,1,104,1.48,1,1.48
Lucina,Captain Falcon,2,0,1,-1,84,0.42,0,1.9
Lucina,Hero,1,1,0,2,82,2.59,2,4.49
Lucina,Sora,2,0,1,-1,0,0.0,-3,4.49
Lucina,Piranha Plant,1,0,1,-1,176,0.88,0,5.37
Rosalina & Luma,Incineroar,1,1,0,1,19,1.905,-1,1.905
Rosalina & Luma,Zelda,2,0,1,-1,22,0.11,0,2.015
Rosalina & Luma,Kirby,1,1,0,2,114,2.43,-1,4.445
Rosalina & Luma,Ridley,2,1,0,1,69,1.655,1,6.1000000000000005
Rosalina & Luma,Incineroar,3,0,1,-1,81,0.405,-1,6.505000000000001
Rosalina & Luma,Mr Game & Watch,1,1,0,1,0,2.0,2,8.505
Rosalina & Luma,Wii Fit Trainer,2,1,0,2,68,2.66,0,11.165000000000001
Rosalina & Luma,Corrin,3,1,0,2,115,2.425,0,13.59
Rosalina & Luma,Palutena,4,1,0,1,116,1.42,0,15.01
Rosalina & Luma,Sonic,1,1,0,2,80,2.6,0,17.61
Rosalina & Luma,Ike,2,1,0,2,34,2.83,0,20.44
Rosalina & Luma,Robin,3,1,0,1,131,1.345,-2,21.785
