cos_theta_lower,cos_theta_upper,phi_lower_rad,phi_upper_rad,count,probability,relative_to_isotropic
-0.3999999999999999,-0.19999999999999996,-2.748893571891069,-2.356194490192345,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,-1.1780972450961724,-0.7853981633974483,1,0.00078125,0.125
-0.3999999999999999,-0.19999999999999996,-0.7853981633974483,-0.39269908169872414,15,0.01171875,1.875
-0.3999999999999999,-0.19999999999999996,-0.39269908169872414,0.0,114,0.0890625,14.25
-0.3999999999999999,-0.19999999999999996,0.0,0.39269908169872414,73,0.05703125,9.125
-0.3999999999999999,-0.19999999999999996,0.39269908169872414,0.7853981633974483,24,0.01875,3.0
-0.3999999999999999,-0.19999999999999996,0.7853981633974483,1.178097245096172,2,0.0015625,0.25
-0.3999999999999999,-0.19999999999999996,1.178097245096172,1.5707963267948966,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,1.5707963267948966,1.9634954084936211,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,1.9634954084936211,2.356194490192345,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,2.356194490192345,2.7488935718910685,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,2.7488935718910685,3.141592653589793,0,0.0,0.0
-0.19999999999999996,0.0,-3.141592653589793,-2.748893571891069,0,0.0,0.0
-0.19999999999999996,0.0,-2.748893571891069,-2.356194490192345,0,0.0,0.0
-0.19999999999999996,0.0,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
-0.19999999999999996,0.0,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
-0.19999999999999996,0.0,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
-0.19999999999999996,0.0,-1.1780972450961724,-0.7853981633974483,0,0.0,0.0
-0.19999999999999996,0.0,-0.7853981633974483,-0.39269908169872414,25,0.01953125,3.125
-0.19999999999999996,0.0,-0.39269908169872414,0.0,160,0.125,20.0
-0.19999999999999996,0.0,0.0,0.39269908169872414,156,0.121875,19.5
-0.19999999999999996,0.0,0.39269908169872414,0.7853981633974483,16,0.0125,2.0
-0.19999999999999996,0.0,0.7853981633974483,1.178097245096172,1,0.00078125,0.125
-0.19999999999999996,0.0,1.178097245096172,1.5707963267948966,0,0.0,0.0
-0.19999999999999996,0.0,1.5707963267948966,1.9634954084936211,0,0.0,0.0
-0.19999999999999996,0.0,1.9634954084936211,2.356194490192345,0,0.0,0.0
-0.19999999999999996,0.0,2.356194490192345,2.7488935718910685,0,0.0,0.0
-0.19999999999999996,0.0,2.7488935718910685,3.141592653589793,0,0.0,0.0
0.0,0.20000000000000018,-3.141592653589793,-2.748893571891069,0,0.0,0.0
0.0,0.20000000000000018,-2.748893571891069,-2.356194490192345,0,0.0,0.0
0.0,0.20000000000000018,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
0.0,0.20000000000000018,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
0.0,0.20000000000000018,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
0.0,0.20000000000000018,-1.1780972450961724,-0.7853981633974483,1,0.00078125,0.125
0.0,0.20000000000000018,-0.7853981633974483,-0.39269908169872414,20,0.015625,2.5
0.0,0.20000000000000018,-0.39269908169872414,0.0,159,0.12421875,19.875
0.0,0.20000000000000018,0.0,0.39269908169872414,136,0.10625,17.0
0.0,0.20000000000000018,0.39269908169872414,0.7853981633974483,29,0.02265625,3.625
0.0,0.20000000000000018,0.7853981633974483,1.178097245096172,0,0.0,0.0
0.0,0.20000000000000018,1.178097245096172,1.5707963267948966,0,0.0,0.0
0.0,0.20000000000000018,1.5707963267948966,1.9634954084936211,0,0.0,0.0
0.0,0.20000000000000018,1.9634954084936211,2.356194490192345,0,0.0,0.0
0.0,0.20000000000000018,2.356194490192345,2.7488935718910685,0,0.0,0.0
0.0,0.20000000000000018,2.7488935718910685,3.141592653589793,0,0.0,0.0
