Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Pyra & Mythra,Steve,2,1,0,3,122,14.54,3.512,4.14,1.0,1.0,4.14,3.512,37.908,15.418
Pyra & Mythra,Mr Game & Watch,3,1,0,1,6,9.649,1.976,5.14,0.95,1.0,4.883,1.976,47.556,17.394
Link,Steve,1,1,0,2,0,10.833,3.0,3.14,1.15,1.0,3.611,3.0,27.577,12.526
Link,Luigi,2,1,0,1,81,7.286,1.676,4.14,1.05,1.0,4.347,1.676,34.863,14.202
Link,Ice Climbers,3,1,0,3,119,19.925,3.524,5.14,1.1,1.0,5.654,3.524,54.787,17.726
Diddy Kong,King K Rool,1,0,1,-1,130,1.551,0.52,3.14,0.95,1.0,2.983,0.52,17.926,9.236
Dr Mario,Ice Climbers,1,1,0,2,39,10.27,2.844,3.14,1.15,1.0,3.611,2.844,26.196,12.302
Dr Mario,Pikachu,2,1,0,2,95,9.762,2.62,4.14,0.9,1.0,3.726,2.62,35.958,14.922
Dr Mario,Hero,3,1,0,1,0,10.28,2.0,5.14,1.0,1.0,5.14,2.0,46.238,16.922
Dr Mario,Byleth,4,1,0,1,0,0.525,2.0,1.0,1.05,4.0,0.263,2.0,46.763,18.922
Mii Swordfighter,Bowser,1,1,0,1,95,5.341,1.62,3.14,1.05,1.0,3.297,1.62,21.22,11.234
Mii Swordfighter,Captain Falcon,2,1,0,2,212,9.355,2.152,4.14,1.05,1.0,4.347,2.152,30.575,13.386
Mii Swordfighter,Sheik,3,1,0,2,174,11.843,2.304,5.14,1.0,1.0,5.14,2.304,42.417,15.69
Ryu,Toon Link,1,1,0,1,121,4.76,1.516,3.14,1.0,1.0,3.14,1.516,20.315,9.724
Ryu,Bowser,2,1,0,1,0,7.866,2.0,4.14,0.95,1.0,3.933,2.0,28.181,11.724
Ryu,Fox,3,1,0,2,107,13.22,2.572,5.14,1.0,1.0,5.14,2.572,41.401,14.296
Isabelle,Pit,1,1,0,2,109,8.051,2.564,3.14,1.0,1.0,3.14,2.564,23.567,11.576
Isabelle,Samus,2,1,0,2,81,11.633,2.676,4.14,1.05,1.0,4.347,2.676,35.2,14.252
Isabelle,Marth,3,1,0,1,61,9.026,1.756,5.14,1.0,1.0,5.14,1.756,44.225,16.008
Roy,Rosalina & Luma,1,1,0,3,122,9.925,3.512,3.14,0.9,1.0,2.826,3.512,25.213,13.311
Roy,Lucina,2,1,0,3,127,14.457,3.492,4.14,1.0,1.0,4.14,3.492,39.67,16.803
Roy,Kazuya,3,0,1,-1,161,3.641,0.644,5.14,1.1,1.0,5.654,0.644,43.311,17.447
