Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Little Mac,Joker,2,1,0,2,41,2.795,-1,4.43
Little Mac,Rosalina & Luma,3,1,0,2,48,2.76,-1,7.1899999999999995
Yoshi,Ness,1,1,0,2,11,2.945,0,2.945
Yoshi,Mario,2,1,0,2,129,2.355,-1,5.3
Yoshi,Peach,3,1,0,2,0,3.0,1,8.3
Falco,Meta Knight,1,1,0,2,42,2.79,0,2.79
Falco,Dark Samus,2,1,0,2,124,2.38,-1,5.17
Falco,Mega Man,3,1,0,2,70,2.65,1,7.82
Mewtwo,Piranha Plant,1,1,0,1,10,1.95,2,1.95
Mewtwo,Palutena,2,1,0,2,26,2.87,-2,4.82
Mewtwo,Ryu,3,1,0,2,0,3.0,1,7.82
King Dedede,Jigglypuff,1,1,0,3,137,3.315,0,3.315
King Dedede,Bowser,2,1,0,2,111,2.445,2,5.76
King Dedede,Pokemon Trainer,3,1,0,2,60,2.7,-1,8.46
Roy,Ike,1,1,0,1,63,1.685,2,1.685
Roy,Palutena,2,1,0,3,89,3.555,0,5.24
Roy,Richter,3,1,0,2,0,3.0,0,8.24
Sephiroth,Pichu,1,1,0,2,68,2.66,0,2.66
Sephiroth,Olimar,2,1,0,3,146,3.27,0,5.93
Sephiroth,Donkey Kong,3,1,0,2,32,2.84,0,8.77
Piranha Plant,Mewtwo,1,1,0,2,83,2.585,-2,2.585
Piranha Plant,Richter,2,1,0,2,80,2.6,0,5.1850000000000005
Piranha Plant,Luigi,3,1,0,3,159,3.205,-1,8.39
Mii Gunner,Dr Mario,1,1,0,1,0,2.0,0,2.0
Mii Gunner,Mario,2,1,0,2,95,2.525,-2,4.525
Mii Gunner,Ryu,3,1,0,3,108,3.46,-2,7.984999999999999
Sora,Corrin,1,1,0,2,59,2.705,-2,2.705
Sora,Cloud,2,1,0,2,0,3.0,-2,5.705
Sora,Sheik,3,1,0,2,8,2.96,-1,8.665
