Round,Character,Score,Rank
8,Wii Fit Trainer,15.361,42
8,Mr Game & Watch,15.335,43
8,Ganondorf,12.938,44
8,Duck Hunt,12.726,45
8,Captain Falcon,12.496,46
8,Incineroar,11.598,47
8,Marth,8.034,48
8,PacMan,8.027,49
8,Pit,7.649,50
8,Dark Samus,7.488,51
8,Inkling,7.255,52
8,Mario,7.233,53
8,Lucario,7.107,54
8,Mii Brawler,7.03,55
8,Fox,6.721,56
8,Sheik,6.564,57
8,Peach,6.319,58
8,Mii Swordfighter,5.794,59
8,Ness,5.793,60
8,Palutena,5.325,61
8,Jigglypuff,4.771,62
8,Villager,4.429,63
8,Wolf,3.447,64
8,Greninja,2.752,65
8,Richter,2.543,66
8,Ryu,1.988,67
8,Olimar,1.911,68
8,Robin,1.572,69
8,Lucina,1.0,70
8,Terry,0.891,71
8,Diddy Kong,0.658,72
8,Zero Suit Samus,0.633,73
8,Pichu,0.515,74
8,Wario,0.49,75
8,Shulk,0.489,76
8,Snake,0.324,77
8,Corrin,0.118,78
8,Daisy,-0.82,79
8,Steve,-1.216,80
