Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Mewtwo,Hero,2,1,0,2,67,2.617,-1,4.88
Mewtwo,Sonic,3,1,0,2,143,2.183,-2,7.063
King Dedede,Donkey Kong,1,1,0,1,107,1.389,0,1.389
King Dedede,Steve,2,1,0,1,0,2.0,-1,3.3890000000000002
King Dedede,Byleth,3,1,0,2,55,2.686,-1,6.075
Sora,Chrom,1,1,0,1,31,1.823,2,1.823
Sora,Pichu,2,1,0,1,60,1.657,2,3.48
Sora,Ryu,3,1,0,2,65,2.629,-1,6.109
Sora,Incineroar,4,1,0,2,103,2.411,0,8.52
Piranha Plant,Mr Game & Watch,1,1,0,3,178,3.0,-2,3.0
Piranha Plant,King K Rool,2,1,0,1,23,1.869,0,4.869
Piranha Plant,Sora,3,1,0,2,29,2.834,-2,7.703
Piranha Plant,Duck Hunt,4,1,0,2,29,2.834,-2,10.537
Mii Gunner,Steve,1,1,0,2,110,2.371,-2,2.371
Mii Gunner,Piranha Plant,2,1,0,2,0,3.0,3,5.371
Mii Gunner,Bowser Jr,3,1,0,2,67,2.617,-2,7.9879999999999995
Mii Gunner,Richter,4,1,0,2,27,2.846,0,10.834
Luigi,Fox,1,1,0,2,16,2.909,2,2.909
Luigi,Dark Pit,2,1,0,1,47,1.731,1,4.64
Luigi,Joker,3,1,0,1,13,1.926,-1,6.566
Luigi,Pichu,4,1,0,2,0,3.0,1,9.565999999999999
Bowser Jr,Lucina,1,1,0,1,0,2.0,2,2.0
Bowser Jr,Terry,2,1,0,2,169,2.034,2,4.034
Bowser Jr,Greninja,3,1,0,3,139,3.206,0,7.24
Bowser Jr,Yoshi,4,1,0,2,105,2.4,-2,9.64
Pokemon Trainer,Zero Suit Samus,1,1,0,3,100,3.429,0,3.429
Pokemon Trainer,Bayonetta,2,1,0,2,30,2.829,0,6.258
Pokemon Trainer,Young Link,3,1,0,2,112,2.36,0,8.618
Toon Link,Fox,1,1,0,2,122,2.303,-2,2.303
Toon Link,Duck Hunt,2,1,0,2,56,2.68,0,4.9830000000000005
Toon Link,Wii Fit Trainer,3,1,0,2,32,2.817,0,7.800000000000001
Toon Link,Mewtwo,4,1,0,1,55,1.686,1,9.486
Toon Link,Roy,5,1,0,1,39,1.777,-2,11.263
Sonic,King K Rool,1,1,0,2,90,2.486,3,2.486
Sonic,Dark Pit,2,1,0,2,80,2.543,0,5.029
Sonic,Mario,3,1,0,3,146,3.166,0,8.195
Sonic,Young Link,4,1,0,1,44,1.749,0,9.944
Pyra & Mythra,Diddy Kong,1,1,0,3,189,3.0,-1,3.0
Pyra & Mythra,Sonic,2,1,0,2,80,2.543,0,5.543
Pyra & Mythra,Peach,3,1,0,2,35,2.8,1,8.343
Pyra & Mythra,Pit,4,1,0,3,110,3.371,-1,11.714
Bowser,Pikachu,1,1,0,2,32,2.817,-1,2.817
Bowser,Cloud,2,1,0,2,87,2.503,0,5.32
Bowser,Jigglypuff,3,1,0,2,78,2.554,-2,7.8740000000000006
Bowser,Mr Game & Watch,4,1,0,3,175,3.0,-2,10.874
Bowser,Sheik,5,1,0,2,61,2.651,0,13.525
