cos_theta_lower,cos_theta_upper,phi_lower_rad,phi_upper_rad,count,probability,relative_to_isotropic
-0.19999999999999996,0.0,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
-0.19999999999999996,0.0,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
-0.19999999999999996,0.0,-1.5707963267948966,-1.1780972450961724,2,0.0015625,0.25
-0.19999999999999996,0.0,-1.1780972450961724,-0.7853981633974483,2,0.0015625,0.25
-0.19999999999999996,0.0,-0.7853981633974483,-0.39269908169872414,2,0.0015625,0.25
-0.19999999999999996,0.0,-0.39269908169872414,0.0,12,0.009375,1.5
-0.19999999999999996,0.0,0.0,0.39269908169872414,12,0.009375,1.5
-0.19999999999999996,0.0,0.39269908169872414,0.7853981633974483,10,0.0078125,1.25
-0.19999999999999996,0.0,0.7853981633974483,1.178097245096172,1,0.00078125,0.125
-0.19999999999999996,0.0,1.178097245096172,1.5707963267948966,1,0.00078125,0.125
-0.19999999999999996,0.0,1.5707963267948966,1.9634954084936211,0,0.0,0.0
-0.19999999999999996,0.0,1.9634954084936211,2.356194490192345,0,0.0,0.0
-0.19999999999999996,0.0,2.356194490192345,2.7488935718910685,0,0.0,0.0
-0.19999999999999996,0.0,2.7488935718910685,3.141592653589793,0,0.0,0.0
0.0,0.20000000000000018,-3.141592653589793,-2.748893571891069,0,0.0,0.0
0.0,0.20000000000000018,-2.748893571891069,-2.356194490192345,1,0.00078125,0.125
0.0,0.20000000000000018,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
0.0,0.20000000000000018,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
0.0,0.20000000000000018,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
0.0,0.20000000000000018,-1.1780972450961724,-0.7853981633974483,1,0.00078125,0.125
0.0,0.20000000000000018,-0.7853981633974483,-0.39269908169872414,3,0.00234375,0.375
0.0,0.20000000000000018,-0.39269908169872414,0.0,6,0.0046875,0.75
0.0,0.20000000000000018,0.0,0.39269908169872414,5,0.00390625,0.625
0.0,0.20000000000000018,0.39269908169872414,0.7853981633974483,9,0.00703125,1.125
0.0,0.20000000000000018,0.7853981633974483,1.178097245096172,1,0.00078125,0.125
0.0,0.20000000000000018,1.178097245096172,1.5707963267948966,2,0.0015625,0.25
0.0,0.20000000000000018,1.5707963267948966,1.9634954084936211,0,0.0,0.0
0.0,0.20000000000000018,1.9634954084936211,2.356194490192345,0,0.0,0.0
0.0,0.20000000000000018,2.356194490192345,2.7488935718910685,0,0.0,0.0
0.0,0.20000000000000018,2.7488935718910685,3.141592653589793,0,0.0,0.0
0.20000000000000018,0.40000000000000013,-3.141592653589793,-2.748893571891069,0,0.0,0.0
0.20000000000000018,0.40000000000000013,-2.748893571891069,-2.356194490192345,0,0.0,0.0
0.20000000000000018,0.40000000000000013,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
0.20000000000000018,0.40000000000000013,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
0.20000000000000018,0.40000000000000013,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
0.20000000000000018,0.40000000000000013,-1.1780972450961724,-0.7853981633974483,0,0.0,0.0
0.20000000000000018,0.40000000000000013,-0.7853981633974483,-0.39269908169872414,3,0.00234375,0.375
0.20000000000000018,0.40000000000000013,-0.39269908169872414,0.0,1,0.00078125,0.125
0.20000000000000018,0.40000000000000013,0.0,0.39269908169872414,3,0.00234375,0.375
0.20000000000000018,0.40000000000000013,0.39269908169872414,0.7853981633974483,2,0.0015625,0.25
0.20000000000000018,0.40000000000000013,0.7853981633974483,1.178097245096172,0,0.0,0.0
0.20000000000000018,0.40000000000000013,1.178097245096172,1.5707963267948966,0,0.0,0.0
0.20000000000000018,0.40000000000000013,1.5707963267948966,1.9634954084936211,0,0.0,0.0
0.20000000000000018,0.40000000000000013,1.9634954084936211,2.356194490192345,0,0.0,0.0
0.20000000000000018,0.40000000000000013,2.356194490192345,2.7488935718910685,0,0.0,0.0
0.20000000000000018,0.40000000000000013,2.7488935718910685,3.141592653589793,1,0.00078125,0.125
0.40000000000000013,0.6000000000000001,-3.141592653589793,-2.748893571891069,1,0.00078125,0.125
0.40000000000000013,0.6000000000000001,-2.748893571891069,-2.356194490192345,0,0.0,0.0
0.40000000000000013,0.6000000000000001,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
0.40000000000000013,0.6000000000000001,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
0.40000000000000013,0.6000000000000001,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
0.40000000000000013,0.6000000000000001,-1.1780972450961724,-0.7853981633974483,0,0.0,0.0
0.40000000000000013,0.6000000000000001,-0.7853981633974483,-0.39269908169872414,0,0.0,0.0
0.40000000000000013,0.6000000000000001,-0.39269908169872414,0.0,0,0.0,0.0
0.40000000000000013,0.6000000000000001,0.0,0.39269908169872414,0,0.0,0.0
