Character,Fights,Avg_Stock_Diff,Avg_Damage,Wins,Losses,Total_Score,Win_Rate
Isabelle,3,1.3333333333333333,78.33333333333333,3,0,6.468999999999999,1.0
Ryu,4,1.25,93.75,3,1,8.552,0.75
Simon,4,1.75,82.5,4,0,8.102,1.0
Roy,3,2.0,40.666666666666664,3,0,9.353,1.0
Sora,3,1.6666666666666667,58.333333333333336,3,0,8.164,1.0
Pokemon Trainer,3,1.0,71.66666666666667,2,1,6.459,0.6666666666666666
Pit,3,2.0,68.66666666666667,3,0,8.835,1.0
Meta Knight,4,0.5,71.75,3,1,6.143,0.75
Piranha Plant,4,2.0,48.5,4,0,10.131,1.0
Ike,3,1.3333333333333333,56.666666666666664,3,0,6.531,1.0
Mii Gunner,4,1.75,67.5,4,0,9.358,1.0
Diddy Kong,3,1.0,59.333333333333336,2,1,5.566,0.6666666666666666
Zelda,3,2.3333333333333335,33.666666666666664,3,0,9.846,1.0
Lucas,4,2.0,75.5,4,0,9.554,1.0
Ice Climbers,3,2.0,60.666666666666664,3,0,9.641,1.0
Olimar,3,2.3333333333333335,69.66666666666667,3,0,9.261,1.0
Wario,3,1.3333333333333333,53.333333333333336,3,0,6.625,1.0
Mr Game & Watch,3,1.6666666666666667,51.666666666666664,3,0,7.739999999999999,1.0
ROB,2,0.0,43.5,1,1,2.407,0.5
Greninja,4,1.75,79.5,4,0,8.027000000000001,1.0
Wolf,3,2.0,84.0,3,0,8.179,1.0
Little Mac,3,1.0,47.0,3,0,6.109,1.0
Mario,3,1.6666666666666667,77.0,3,0,7.201,1.0
Inkling,3,1.0,28.666666666666668,3,0,5.945,1.0
Luigi,5,1.4,46.6,5,0,7.306,1.0
Captain Falcon,3,1.6666666666666667,31.333333333333332,3,0,8.607,1.0
Sonic,3,0.3333333333333333,72.33333333333333,2,1,3.201,0.6666666666666666
Pichu,3,1.3333333333333333,76.33333333333333,3,0,6.693,1.0
PacMan,3,1.6666666666666667,25.333333333333332,3,0,8.491,1.0
Shulk,3,2.0,69.0,3,0,8.588000000000001,1.0
Richter,2,1.0,85.0,1,1,3.0119999999999996,0.5
Rosalina & Luma,1,-1.0,63.0,0,1,0.331,0.0
Joker,4,1.75,124.75,4,0,7.5280000000000005,1.0
Mewtwo,1,-1.0,13.0,0,1,0.068,0.0
Peach,3,2.0,79.0,3,0,8.33,1.0
Samus,1,-1.0,71.0,0,1,0.355,0.0
Wii Fit Trainer,4,1.75,60.25,4,0,9.232,1.0
Bayonetta,2,0.0,86.0,1,1,1.026,0.5
Zero Suit Samus,3,1.3333333333333333,80.66666666666667,3,0,6.402,1.0
Villager,4,1.5,80.25,4,0,7.787,1.0
Palutena,1,-1.0,76.0,0,1,0.361,0.0
Lucario,3,2.3333333333333335,128.0,3,0,9.347999999999999,1.0
Snake,3,1.3333333333333333,19.666666666666668,3,0,7.189,1.0
Ness,4,1.75,76.75,4,0,8.064,1.0
Fox,3,1.0,25.0,3,0,6.247,1.0
Ken,3,1.0,92.33333333333333,2,1,5.749,0.6666666666666666
Sheik,3,1.3333333333333333,104.0,3,0,6.239,1.0
Mega Man,1,-1.0,99.0,0,1,0.495,0.0
Jigglypuff,3,1.3333333333333333,32.0,3,0,7.026,1.0
Daisy,3,1.3333333333333333,42.0,3,0,6.9510000000000005,1.0
Steve,2,0.5,115.5,1,1,2.793,0.5
Pikachu,3,2.0,103.33333333333333,3,0,7.913,1.0
Falco,3,0.3333333333333333,42.333333333333336,2,1,4.322,0.6666666666666666
Marth,1,-1.0,7.0,0,1,0.032,0.0
Kazuya,2,1.0,135.5,1,1,3.929,0.5
