condition,molecule,label,ensemble,temperature_K,pressure_kPa,molecules,frames,production_ps,angular_kl_nats,msd_final_nm2,measured_temperature_K,measured_temperature_K_block_se,potential_kJ_mol_molecule,potential_kJ_mol_molecule_block_se,density_g_cm3,density_g_cm3_block_se,fcc_order,fcc_order_block_se,polar_order,polar_order_block_se,nematic_order,nematic_order_block_se,multipolar_order,multipolar_order_block_se,a1_squared,a1_squared_block_se,a2_squared,a2_squared_block_se,a3_squared,a3_squared_block_se,a4_squared,a4_squared_block_se,a5_squared,a5_squared_block_se,a6_squared,a6_squared_block_se
glycerol_p02_t00,glycerol,Glycerol-inspired,npt,180.0,1000.0,32,60,3.0,0.15090346260170379,0.034202687200670566,208.38106396550896,8.33206619035944,-36.69393864007564,1.0387316839600502,1.0530990680146832,0.039898395895299234,0.2293873162008478,0.015026996862991445,0.18212780908872567,0.05100172955876574,0.12466664014980919,0.0059982585036750385,0.07474860635376518,0.017825806588305976,0.012092144318738838,0.020834046153616198,-0.009632602751547021,0.0012235049673384544,-0.0036212178496530466,0.006402105023169151,-0.0003686770509531832,0.0026508597974100076,-0.0025692304763740496,0.0034880949018643325,-0.0005770719713030546,0.0017483045560534771
glycerol_p02_t01,glycerol,Glycerol-inspired,npt,300.0,1000.0,32,60,3.0,0.15767801414175125,0.01445727722456714,305.9526970625977,10.855888183689407,-37.98074436412313,0.192659168228227,1.1281360697031022,0.006419366934119812,0.07604608749676096,0.0051061898312393,0.19547106806925177,0.022308569687188213,0.19405191710387185,0.02756766802467518,0.09769584664095061,0.008866504102897264,0.01169758283926849,0.009000286725980041,0.017711914783367252,0.009196980475594087,0.0019294030829354806,0.0028863128760628198,-0.0010623730994626533,0.0012076627195278717,0.004144446167171636,0.0017379701350350235,0.00038490758416335016,0.001954147285570666
glycerol_p02_t02,glycerol,Glycerol-inspired,npt,600.0,1000.0,32,60,3.0,0.1223996284980313,0.09134231082169897,538.4429432060531,11.882381294258199,-28.721289604873416,0.9075390848648872,0.9279814636397419,0.024221528121650595,0.04602516000123069,0.01152793953231542,0.254359759543187,0.02096864662804978,0.14048384073449013,0.01853234954785244,0.10468543267002657,0.008045144479801427,0.03824272926275001,0.010977112591863026,2.3418817341186507e-06,0.007760555359768722,0.002671397227361384,0.005741119032152595,-0.002885084481467681,0.0032410686716487307,-0.0003355688917977565,0.0012768336605923835,-0.001218099448161421,0.0033124053451495526
glycerol_p02_t03,glycerol,Glycerol-inspired,npt,1000.0,1000.0,32,60,3.0,0.05085424880584423,0.25409484290153167,881.7822182421005,16.58685429107916,-20.819360058077766,1.552341746777466,0.765526755603952,0.049236813717826684,0.039700718377416976,0.0036769739916244245,0.1289526715838561,0.02096547519290725,0.13052626719137975,0.00921074309639133,0.06366147961382364,0.004263340134503965,-0.012263794293542697,0.005189371975103579,-0.005625380090196554,0.003450319863069597,0.0012500924069538126,0.0029631659338295274,-0.002568140610628038,0.0028532609606028267,0.00222795393370348,0.0028616710860633597,0.0009286862140180889,0.0009425951869341967
glycerol_p02_t04,glycerol,Glycerol-inspired,npt,1600.0,1000.0,32,60,3.0,0.05589526503003549,0.5548456912990005,1539.6491171374191,73.24540212667938,-11.256186055477235,0.3379661334713857,0.4688115720294517,0.015305361386452858,0.03396043054249662,0.00274446158485601,0.14323524472848703,0.014086179946087258,0.1537728601515169,0.01182632407164158,0.07584426858418207,0.004496237486450635,-0.006243133636129383,0.005193925225078437,0.00454908531243398,0.0050052423023853225,-0.00354598717859818,0.0011623462399667959,0.003516485307976147,0.0015479747515478534,0.0019604050954752884,0.002128425593722348,-0.001063107007614905,0.0011382858990218695
ethylene_glycol_p00_t00,ethylene_glycol,Ethylene glycol-inspired,npt,180.0,10.0,32,60,3.0,0.17358996546161784,0.019622720614772618,192.70952060517328,14.59224873945803,-26.970027975834668,1.048575242530015,0.9102998867536751,0.045670124438694476,0.3604818766519234,0.08110749273097669,0.14163524912506514,0.010266982119711103,0.20016906502094312,0.028026225344441325,0.09998857672057256,0.010897717140059864,-0.007492806010914418,0.0051497080098895035,0.02725064103897635,0.011612810737369826,0.00807730877042942,0.005247115452713794,0.004080242558918864,0.004462382615711141,0.0006202399249667597,0.0023121117989591653,-0.0019992005261928124,0.0024354991812942602
ethylene_glycol_p00_t01,ethylene_glycol,Ethylene glycol-inspired,npt,300.0,10.0,32,60,3.0,0.19106538116329713,0.004653049362808312,293.58097231272205,10.337901237664862,-32.57943796658355,0.3253636708679596,1.1227006918204263,0.0058323911637328885,0.8525247446172882,0.009138915110746486,0.3318090091349213,0.0755493040248205,0.1701893095724763,0.03232110924710952,0.1444126585079563,0.03451149415390731,0.10556591116802191,0.05979331021366472,0.013599520438940903,0.014935857543432294,-0.002177590515678852,0.0037351618039528998,0.0037912755398113924,0.005746251279900096,0.0005504356199781297,0.0030691492297868933,0.003276132305612332,0.002889325005486479
ethylene_glycol_p00_t02,ethylene_glycol,Ethylene glycol-inspired,npt,600.0,10.0,32,60,3.0,0.06917876854957165,0.012718056356241994,551.6991527298069,29.728537064713077,-26.003285664646164,0.6473743146850657,1.0165882000232525,0.01188490386201212,0.6303198575507578,0.04689822325705484,0.2387929817531916,0.02623350472127534,0.1539713625929487,0.016441160150942605,0.09672289589689237,0.008721095768612498,0.033728925849173204,0.013310129804460747,0.005190032249302799,0.004521684429718336,-0.0022852225507291493,0.0018436616449835673,-0.00018133558606969435,0.0008749118652730257,-0.0015409895804239686,0.001841529477630724,-0.0014880777548795705,0.0011930247764810119
ethylene_glycol_p00_t03,ethylene_glycol,Ethylene glycol-inspired,npt,1000.0,10.0,32,60,3.0,0.04911522173033432,0.2257470758710027,913.6123377066016,51.28087210053316,-14.636781221033905,1.0610305235547466,0.6889891943268934,0.04273383734859741,0.05636109945161828,0.014307086063604405,0.16541033513475564,0.016317396702076388,0.141477490942631,0.01160838847252664,0.07298018744733935,0.0053457703633921225,-0.00142394718934949,0.006088823978772377,0.0009375423109543643,0.005342623865358056,0.0015833976426185216,0.0028436904494032245,0.0017684620842558713,0.0012073856868808075,-0.002499166926659736,0.0006667596383557572,-0.0014238648473247865,0.001459910296217988
ethylene_glycol_p00_t04,ethylene_glycol,Ethylene glycol-inspired,npt,1600.0,10.0,32,60,3.0,0.052791423595581186,0.7004158866716561,1519.4865938950068,87.59879478905673,-8.31580060792278,0.7387509270070571,0.4539934157095116,0.037031506000858076,0.025592003348075456,0.0016515060907834076,0.17072473530655646,0.02880373894510385,0.15005110910851013,0.01670950357030275,0.07871658382391335,0.0076304450052408716,0.007810064444526191,0.011384941189501252,0.0013027392929123396,0.0057226936863731285,0.0024238231586739636,0.0012752582400134699,-0.002351594046121714,0.002129010190999404,-0.001515607299175735,0.001225454294168396,-0.0024785379103708623,0.0003544460284933332
