condition,molecule,label,potential,boundary,density_mode,initial_density_g_cm3,ensemble,temperature_K,pressure_kPa,molecules,frames,production_ps,angular_kl_nats,msd_final_nm2,measured_temperature_K,measured_temperature_K_block_se,potential_kJ_mol_molecule,potential_kJ_mol_molecule_block_se,density_g_cm3,density_g_cm3_block_se,fcc_order,fcc_order_block_se,polar_order,polar_order_block_se,nematic_order,nematic_order_block_se,multipolar_order,multipolar_order_block_se,local_q6,local_q6_block_se,nearest_neighbor_nm,nearest_neighbor_nm_block_se,rotation_c2,rotation_c2_block_se,wall_kJ_mol_molecule,wall_kJ_mol_molecule_block_se,intermolecular_kJ_mol_molecule,intermolecular_kJ_mol_molecule_block_se,a1_squared,a1_squared_block_se,a2_squared,a2_squared_block_se,a3_squared,a3_squared_block_se,a4_squared,a4_squared_block_se,a5_squared,a5_squared_block_se,a6_squared,a6_squared_block_se,msd_slope_proxy_nm2_ps,cv_fluct_J_mol_K,cp_fluct_J_mol_K,compressibility_fluct_kPa_inv,expansion_fluct_K_inv
ethylene_glycol_coulomb_lj_p00_t00,ethylene_glycol,Ethylene glycol-inspired,coulomb_lj,walls,reference,1.1135000000000002,nvt,180.0,,32,40,2.0,0.14930769926433482,0.006225998411869988,170.7232573136387,6.82734988847403,-16.595411753265164,0.07035150021647292,1.1135,0.0,0.6951569379851792,0.03811443846119444,0.10577575610410964,0.0151034524911126,0.1394446169598412,0.014928059962822105,0.05017108151499463,0.010563485319857733,0.2607690014285966,0.0027618044337608303,0.46967386381551035,0.0005970072366090835,0.12753919770279412,0.10583006250914873,0.08902718463728498,0.0114184695627468,-16.68443893790245,0.0803619814465903,-0.01836775196632213,0.0035445098516230086,-0.006412990538903854,0.00448070685617292,-0.0023226601627005985,0.002032800988436269,-0.00407635288803178,0.00394381898606543,-0.0033466659612203958,0.0014619172414140386,0.0018829178976563729,0.0018038414499059558,-0.0002136236935142585,14.931011265635192,,,
ethylene_glycol_coulomb_lj_p00_t01,ethylene_glycol,Ethylene glycol-inspired,coulomb_lj,walls,reference,1.1135000000000002,nvt,300.0,,32,40,2.0,0.12279204345373206,0.009366089968723464,267.2693641946598,12.102876115004854,-15.15481675003089,0.16559362982562906,1.1135,0.0,0.5691557687030928,0.03748518083320525,0.08102703903590798,0.014597038770702833,0.1846628388798639,0.017309533721257764,0.07705635626655918,0.010742936074019842,0.2548291048349333,0.0011737718670488926,0.46384975359453673,0.0009563842394791222,0.17018868781920232,0.09162785076568503,0.18148521151028693,0.010310305398326416,-15.336301961541176,0.15575548994692354,-0.023220487679780574,0.002864741676588637,0.019460848221852043,0.009536583199882565,-0.0056049519590173295,0.0025291992975456467,0.002029619555875114,0.003186674000577077,0.0016543386555001535,0.001971787329657671,-0.0009763032096439023,0.0012535025022859998,-0.000594462880258013,28.103458643400646,,,
ethylene_glycol_coulomb_lj_p00_t02,ethylene_glycol,Ethylene glycol-inspired,coulomb_lj,walls,reference,1.1135000000000002,nvt,600.0,,32,40,2.0,0.07069858596995648,0.026378128730711988,596.9366725541563,11.667306991117567,-11.919530060399543,0.20348567183558933,1.1135,0.0,0.41307909781237695,0.06303156820839764,0.13556777893729546,0.010839056505351222,0.14907243354718167,0.014016634471596422,0.06998554715718688,0.00533880806041587,0.25309643394662656,0.0034450647024573933,0.4550886696980532,0.0017881642087373903,0.0006251127175790544,0.05774527698192649,0.5099198785831826,0.04873705311525066,-12.429449938982724,0.16666270505743846,-0.01070163374403776,0.0030420925404136246,0.00195874588369871,0.006951634256105017,-0.0037756905551709513,0.0021289278752634985,-0.0028699528775448712,0.0016234080486813422,0.0047629772881046155,0.0005729313324115144,0.0006403335722881903,0.0030455632489804763,0.0014918592928673197,7.590127372014004,,,
ethylene_glycol_lj_p00_t00,ethylene_glycol,Ethylene glycol-inspired,lj,walls,reference,1.1135000000000002,nvt,180.0,,32,40,2.0,0.14301004728838762,0.006677022155765183,158.64173314543552,10.553368392006275,-13.294943554551878,0.09858371874719918,1.1135,0.0,0.7027545487527742,0.01792656523726697,0.16422934054538443,0.029167103608829945,0.1533293453501896,0.005905244565057634,0.07893003050169498,0.007444216713654163,0.2600162256787891,0.001889167445121711,0.47154230118466056,0.0014864526927394941,0.1570695362168902,0.09950001912408099,0.08761400576533691,0.00902138857977878,-13.382557560317219,0.09186503457810394,-0.00025892648902744184,0.008919478525863795,0.0004126984060081145,0.002984183621806595,-0.0033364767737179375,0.005369238618088398,-0.0004882361720874723,0.00351293783140555,0.006757166202016204,0.004097261114442833,-0.0003244952520916826,0.0019409751651472678,0.00020207956754329554,40.959668630782744,,,
ethylene_glycol_lj_p00_t01,ethylene_glycol,Ethylene glycol-inspired,lj,walls,reference,1.1135000000000002,nvt,300.0,,32,40,2.0,0.11219939534546328,0.01924972584347036,267.7713098471098,12.667131367964618,-12.418209402579397,0.1363514478434908,1.1135,0.0,0.5929705153637614,0.03993672891272968,0.11451265951798746,0.014985425334645176,0.13843898857820744,0.008691771815849163,0.06134942963401846,0.002630281150507887,0.2574155491745378,0.00040787030000562484,0.46429472453380993,0.002184505683315426,0.014998259624773936,0.05294983141105075,0.1958167028710703,0.02044782412886893,-12.614026105450467,0.12523767706393482,-0.017407574140313537,0.0032328015191184184,-0.0006002902235746225,0.003129310919323367,-0.002349097738770257,0.004231318883387432,-0.0010845571430400948,0.004194751506665942,-8.276639699361134e-05,0.0028093916005164487,0.00021889986066348692,0.0024627958134469893,0.0014384504324892675,17.623329019316383,,,
ethylene_glycol_lj_p00_t02,ethylene_glycol,Ethylene glycol-inspired,lj,walls,reference,1.1135000000000002,nvt,600.0,,32,40,2.0,0.09308297277666952,0.026124229595350386,628.3199697837005,23.964426595997907,-9.172181629525515,0.4249125627057984,1.1135,0.0,0.3091818921301348,0.035065054879489854,0.12797316838085532,0.019730422152843208,0.16634513171671403,0.007034611820830401,0.07385397719739688,0.0064012205514360305,0.2556735687575453,0.0004037272726558007,0.45410382650040704,0.001658855111640624,0.03709209984425702,0.029648387597295635,0.6770158245730967,0.11312122355305038,-9.849197454098611,0.34357143806972634,-0.012482586975808344,0.006255047470231667,0.010884388923057275,0.004531075604584621,-0.0030133310337434075,0.0017530995467638485,-0.0012704257186534542,0.0022720390667591277,-0.0006603500265248976,0.0030756610564618416,-0.0005786571052111174,0.0022324407818685556,0.0012302008955474581,36.5535626977446,,,
ethylene_glycol_coulomb_wca_p00_t00,ethylene_glycol,Ethylene glycol-inspired,coulomb_wca,walls,reference,1.1135000000000002,nvt,180.0,,32,40,2.0,0.21229567381771042,0.006521920171852012,156.29495843723396,9.936427349890064,-1.638733852895242,0.0921826556525538,1.1135,0.0,0.6158119914432,0.028538505818790433,0.11307005578547806,0.008973669708948756,0.13788177450709244,0.015182988991851167,0.08436306789014657,0.00845480421975998,0.25354540044663115,0.0015404651723532326,0.47701913796189155,0.0006547669558810995,0.2587558294298087,0.10551701910012294,0.16518775521937315,0.014556315983313767,-1.803921608114615,0.08081405327849996,-0.016499983240801964,0.0026222197163114215,-0.0017460480415763626,0.004990688734453246,0.01099178038960244,0.005803223051570176,0.01168462815300241,0.004705273267356402,0.004527831594124495,0.004799586373387709,0.0025461550193035033,0.0011486077450294971,0.00016881145102550855,39.31920656817373,,,
ethylene_glycol_coulomb_wca_p00_t01,ethylene_glycol,Ethylene glycol-inspired,coulomb_wca,walls,reference,1.1135000000000002,nvt,300.0,,32,40,2.0,0.16951704843289359,0.011811887051947231,295.6337271787914,10.880952308041286,-0.1630523419774113,0.12170895917145035,1.1135,0.0,0.663018430449756,0.014232011006962513,0.15332839402417353,0.014187084900373811,0.15419490667253893,0.018320839413795118,0.07261456813489377,0.0058109358873313435,0.25387974583744066,0.001955836120948899,0.4716272761214865,0.001344008768408036,0.19158785786780527,0.05956155860664008,0.32435885813804594,0.030688882261976577,-0.4874112001154572,0.0940817558531889,-0.006127802174930549,0.004971593896938577,0.005242770216495542,0.007579006729765066,-0.0020477571362397537,0.004276239598317148,0.0019422995231350008,0.004243450738946663,0.00018828894678872104,0.002086893655937257,0.0009365204568408892,0.002858910776714955,0.0002384186197843731,21.69879763824864,,,
ethylene_glycol_coulomb_wca_p00_t02,ethylene_glycol,Ethylene glycol-inspired,coulomb_wca,walls,reference,1.1135000000000002,nvt,600.0,,32,40,2.0,0.07822638187129814,0.04365711476620106,584.96264183576,29.771006260916543,3.2823684283639594,0.5721292016382221,1.1135,0.0,0.3404005928099433,0.08670595193736969,0.13285823024087498,0.021508256120673953,0.13337993895461406,0.009975593212249152,0.06884376704169379,0.0076787589525060505,0.2464386813925085,0.003656153343818462,0.454532033320138,0.0026826897306455734,0.05478682226268343,0.04483768883674504,0.7556994685079264,0.06369817523330785,2.5266689598560332,0.5089321339486331,-0.009829229430890063,0.008425521527687047,-0.0061001156692513225,0.003550884031808202,0.0025982519079482892,0.003810423308310242,-0.0007431008002113553,0.003126842519586089,0.00038062484391737753,0.0014980784308223456,0.002020809107452446,0.0024491173377420333,0.005170154888461568,60.35253861612026,,,
ethylene_glycol_wca_p00_t00,ethylene_glycol,Ethylene glycol-inspired,wca,walls,reference,1.1135000000000002,nvt,180.0,,32,40,2.0,0.12629695545498903,0.005963664969967241,170.18748173551225,8.381433082823865,1.4574026584755362,0.008672439585782826,1.1135,0.0,0.6881729269851625,0.01005107224726023,0.12814606985938568,0.016188504903847337,0.14248033811141964,0.017624947003345187,0.059461444336630774,0.0060991934725910584,0.2589758679877449,0.0018931209961645442,0.4782974543647189,0.0009472573794761682,0.1637928787450812,0.10081022352341083,0.21188809975420253,0.00966020245229098,1.2455145587213337,0.014564310759386793,-0.013684530892923513,0.005101647673549598,-0.0020089215765706605,0.00635433793370613,-0.005237081572525412,0.0018399658019121073,0.0004748161419374709,0.004810863966071538,-0.0016859323213497784,0.003685255493263995,1.3058180105716358e-05,0.0017113841517457256,0.00029114658919795355,18.87717817007307,,,
ethylene_glycol_wca_p00_t01,ethylene_glycol,Ethylene glycol-inspired,wca,walls,reference,1.1135000000000002,nvt,300.0,,32,40,2.0,0.15716572132938988,0.010299432809756032,285.91022463867574,10.498930660217793,2.371566750342781,0.11687286191682487,1.1135,0.0,0.6018510768258786,0.02275687193374779,0.16456172970582228,0.03316929915291198,0.14770367456171712,0.016351287190801162,0.08155017864612686,0.014946794139419156,0.2555544582971706,0.0011066057673598782,0.4726677998295708,0.0011595384982364177,0.06513164197652269,0.08123802249621272,0.3412085390191617,0.009895782809014013,2.0303582113236187,0.10970740856630833,0.0006211131503065879,0.013212216295808496,0.0002435073103655247,0.006436713269077889,0.00649809618612371,0.004550245052859717,0.0009511074248924444,0.0044879404458413475,0.0014615690203792656,0.0020815014145844444,0.0022525558376659794,0.0030673869192545914,0.0004776375873504041,23.254243948388797,,,
ethylene_glycol_wca_p00_t02,ethylene_glycol,Ethylene glycol-inspired,wca,walls,reference,1.1135000000000002,nvt,600.0,,32,40,2.0,0.09252339094000049,0.01733928709576632,559.3591029131236,30.759024105272882,4.685087846627104,0.42943544825356267,1.1135,0.0,0.3810025104159068,0.05414038734729788,0.1434973835697245,0.015337624980600071,0.15922889677492352,0.024270433255730296,0.07537456244335335,0.005654503685940353,0.24708032419167977,0.002454309929001371,0.4588889375748543,0.001866097678194424,0.05997226754551284,0.06556141581113961,0.7457350891433834,0.08526057661689271,3.9393527574837206,0.3820020715858845,-0.008159961536012884,0.005046713075367112,0.004583807310626393,0.008733507384685887,-0.001856498779597321,0.001077694385852633,0.002951001600039528,0.004577721803781756,0.0010543682456605201,0.0018166660725994841,-0.0002461186893771859,0.0011237670689297926,-0.0005418643469342025,41.639499162512394,,,
dmso_coulomb_lj_p00_t00,dmso,DMSO-inspired,coulomb_lj,walls,reference,1.0999999999999999,nvt,180.0,,32,40,2.0,0.19387367373946168,0.0056327797461177545,147.5620141892287,3.5173061341235647,-25.944961324399493,0.11742359657655808,1.0999999999999999,0.0,0.6538041906678242,0.011682281029063246,0.05520201885052125,0.007490234959658537,0.14842717394984478,0.018997884106307643,0.05404645776028363,0.004373186957430321,0.25954661792763634,0.0014809003389581862,0.5001768434536289,0.0007105392226030781,0.43784971502010794,0.08863203567359508,0.04498797648570727,0.0030292279042696255,-25.9899493008852,0.11497393978218035,-0.028745210168638357,0.0009760403562662467,0.0009954393718466816,0.004873110264324959,-0.006203483576981031,0.003803054766444319,-0.005843732094096018,0.0027189738555116055,0.0010919882401715084,0.0011886809785370258,-0.0009322118741164782,0.0015537923042763708,-0.0003304498730264803,16.179038420484368,,,
dmso_coulomb_lj_p00_t01,dmso,DMSO-inspired,coulomb_lj,walls,reference,1.0999999999999999,nvt,300.0,,32,40,2.0,0.13229721654251728,0.010106063931889075,267.8791547493448,7.277278585096691,-23.57676104647963,0.3503777850329912,1.0999999999999999,0.0,0.5438960645511882,0.04754341731298563,0.07215683065666897,0.005176468056261723,0.12625740897304438,0.010090346873930326,0.07193514712280147,0.005707512255138082,0.25546010746597664,0.0012967561436516045,0.49891374705359864,0.0005006128615838379,0.13858746212662973,0.11646156264711761,0.10292688565404737,0.01612753612333872,-23.679687932133675,0.3641648866571248,-0.026091991064477148,0.0009670235487905855,-0.004026897817799071,0.005493534727678055,-0.0021728389935978146,0.0030970210926003893,0.01083104064831086,0.003770341465754082,0.0031555878154500587,0.002941662765253929,0.00010556566806096574,0.0035702441736302918,0.0004047986114706951,37.7815574024645,,,
dmso_coulomb_lj_p00_t02,dmso,DMSO-inspired,coulomb_lj,walls,reference,1.0999999999999999,nvt,600.0,,32,40,2.0,0.13516474353150978,0.014718897602807698,482.27279623600026,27.655897940715516,-19.631754904673613,0.41001038400473633,1.0999999999999999,0.0,0.569233555854902,0.008475276030021388,0.1397807572864426,0.021647630136953238,0.1796245994537366,0.022547187881147922,0.08530757748005226,0.007140633647243243,0.2505384305139794,0.0020422482273133803,0.49273026864286545,0.0013387105734806403,0.1310838089876184,0.0938516434575571,0.30784247250743857,0.02342191764149483,-19.93959737718105,0.402747039544115,-0.008502856359796442,0.007229493075957985,0.01403823157615446,0.009629291919575504,0.006248279865458511,0.0031718142364578574,-0.004628757918356474,0.003238882619220496,0.0006381033639090754,0.003335102961034264,-0.0019256066548435612,0.0019081976099403252,0.0002894737505916177,35.39243432005314,,,
dmso_lj_p00_t00,dmso,DMSO-inspired,lj,walls,reference,1.0999999999999999,nvt,180.0,,32,40,2.0,0.19453861764206865,0.011886658786110603,157.66673790214273,4.728617825612898,-14.892828119654897,0.04395447919536905,1.0999999999999999,0.0,0.7098893548758327,0.01851184158973277,0.1869334707342069,0.05691903230336878,0.1789140055219131,0.013764243318254554,0.10472279918691159,0.006399014045267178,0.2613628371837706,0.0005487700489223013,0.5074103368121432,0.0022425472120367472,0.1408445472984881,0.11743538175219571,0.0754434537917936,0.005285867989756897,-14.96827157344669,0.04624956740551325,0.014867274216020979,0.02211959350864146,0.017158705665582606,0.0059478396124955915,-0.0008929795251522057,0.0045861539892434085,0.0033994088921878024,0.005504007144458064,0.0007794886471838033,0.005423775696168894,0.0013821543909845386,0.0022629889916877103,0.0010425218970917533,11.329521160534773,,,
dmso_lj_p00_t01,dmso,DMSO-inspired,lj,walls,reference,1.0999999999999999,nvt,300.0,,32,40,2.0,0.1317295426936214,0.014974242578666778,279.62322452352254,3.065849561461552,-14.067273825207934,0.03623602516859111,1.0999999999999999,0.0,0.5081791986344012,0.03979269941052606,0.13370190999692028,0.018412363771386928,0.1580008943603136,0.01750991036572839,0.07143253050152201,0.009004367196101365,0.25890828155559076,0.0014915079444547613,0.4988474256192646,0.00047658332351233865,0.09943808604353366,0.11447463674406431,0.21093924959542135,0.010590226186230615,-14.278213074803352,0.04264999030267483,-0.010913747676719186,0.004136715497481199,0.005632812145612233,0.0064247289748668,-0.0041573708137471795,0.002860406554018726,0.0060639500028128466,0.003809611893379215,-0.0016201096291341987,0.0008945555036608452,0.0012155106845539378,0.003100642108430634,0.001142244385265132,3.10758978084224,,,
dmso_lj_p00_t02,dmso,DMSO-inspired,lj,walls,reference,1.0999999999999999,nvt,600.0,,32,40,2.0,0.11357330729617925,0.028516803339810257,570.6700854616081,16.454022313265224,-11.650050877642771,0.21211281857804085,1.0999999999999999,0.0,0.5208882666906414,0.027272462983937804,0.16162774281901965,0.02342950579088292,0.15287612044491194,0.013984548076928404,0.0796630926639241,0.0035043270252159897,0.2510468323669483,0.0016881432222263632,0.4930503236295792,0.0011033123729845859,0.09209956256312757,0.07987272093388953,0.4023750473252042,0.01980242691750751,-12.052425924967974,0.20554713965145144,-0.001205839428763064,0.00739945428672148,0.00121844687751362,0.004087867520256431,0.00529379056477437,0.0040343712649327365,-0.001310270753942886,0.002963574681832376,0.004056276714583201,0.0017765926461975159,-0.0015490880925210742,0.002084614922527087,0.0011998702123979686,8.410492932424987,,,
dmso_coulomb_wca_p00_t00,dmso,DMSO-inspired,coulomb_wca,walls,reference,1.0999999999999999,nvt,180.0,,32,40,2.0,0.21418005494181833,0.00983174824493583,150.79411904933755,3.6503538388012244,-8.31105417514491,0.065066294125635,1.0999999999999999,0.0,0.6128264462205556,0.018293678495126867,0.06196954558907649,0.0026063670622801217,0.13362366915527546,0.011816723420726595,0.07792214366665162,0.004648950512114879,0.25426908624229866,0.0020288075385926606,0.5137989783774429,0.0003406099445744719,0.3148784376322001,0.09657732472334801,0.11585734935206231,0.009363320648848445,-8.426911524496973,0.06060643393533848,-0.027031218649474432,0.0007838353087447643,0.0016471554554031824,0.0037616775933891154,0.0007865501403657729,0.0031715525484157523,0.007810138483800295,0.004181096199076655,0.003429804796029975,0.003339944651340405,0.0012513301395858998,0.0023913666652860704,0.0007240468165494317,10.84403643945818,,,
